Month,Yemen: (World)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,65
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,42
2010-02,33
2010-03,42
2010-04,0
2010-05,0
2010-06,31
2010-07,0
2010-08,0
2010-09,0
2010-10,34
2010-11,0
2010-12,26
2011-01,0
2011-02,25
2011-03,40
2011-04,38
2011-05,35
2011-06,34
2011-07,0
2011-08,24
2011-09,30
2011-10,27
2011-11,20
2011-12,19
2012-01,0
2012-02,38
2012-03,0
2012-04,21
2012-05,20
2012-06,0
2012-07,0
2012-08,0
2012-09,18
2012-10,0
2012-11,17
2012-12,21
2013-01,0
2013-02,18
2013-03,22
2013-04,0
2013-05,0
2013-06,14
2013-07,26
2013-08,0
2013-09,0
2013-10,0
2013-11,14
2013-12,14
2014-01,18
2014-02,0
2014-03,19
2014-04,22
2014-05,14
2014-06,18
2014-07,0
2014-08,20
2014-09,20
2014-10,19
2014-11,67
2014-12,35
2015-01,54
2015-02,41
2015-03,65
2015-04,93
2015-05,50
2015-06,33
2015-07,43
2015-08,43
2015-09,41
2015-10,35
2015-11,42
2015-12,45
2016-01,44
2016-02,42
2016-03,53
2016-04,52
2016-05,35
2016-06,22
2016-07,22
2016-08,39
2016-09,32
2016-10,45
2016-11,32
2016-12,27
2017-01,34
2017-02,42
2017-03,36
2017-04,31
2017-05,27
2017-06,22
2017-07,29
2017-08,36
2017-09,39
2017-10,43
2017-11,61
2017-12,100
2018-01,54
2018-02,38
2018-03,48
2018-04,26
2018-05,21
2018-06,39
2018-07,24
2018-08,18
2018-09,27
2018-10,42
2018-11,48
2018-12,40
2019-01,45
2019-02,28
2019-03,34
2019-04,33
2019-05,25
2019-06,23
2019-07,28
2019-08,33
2019-09,56
2019-10,35
2019-11,30
2019-12,26
2020-01,39
2020-02,31
2020-03,35
2020-04,25
2020-05,19
2020-06,24
2020-07,17
2020-08,19
2020-09,26
2020-10,22
2020-11,20
2020-12,26
2021-01,17
2021-02,22
2021-03,18
2021-04,13
2021-05,12
2021-06,20
2021-07,15
2021-08,20
2021-09,20
2021-10,28
2021-11,35
2021-12,32
2022-01,44
2022-02,35
2022-03,35
2022-04,22
2022-05,21
2022-06,36
2022-07,19
2022-08,24
2022-09,29
2022-10,22
2022-11,27
2022-12,21
2023-01,29
2023-02,14
2023-03,24
2023-04,21
2023-05,17
2023-06,22
2023-07,10
2023-08,24
2023-09,21
2023-10,27
2023-11,32
2023-12,33
2024-01,39
2024-02,31
2024-03,15
2024-04,14
2024-05,21
2024-06,24
2024-07,27
2024-08,22
2024-09,30
2024-10,23
2024-11,18
2024-12,44
2025-01,20
2025-02,14
2025-03,29
2025-04,30
2025-05,17
2025-06,24
2025-07,24
2025-08,24
2025-09,32
2025-10,34
2025-11,17
2025-12,18
