Entity,Code,Year,Deaths - Sex: all - Age: all - Variant: estimates,Deaths - Sex: all - Age: all - Variant: medium,Births - Sex: all - Age: all - Variant: estimates,Births - Sex: all - Age: all - Variant: medium
Yemen,YEM,1950,177393,,243594,
Yemen,YEM,1951,175239,,249433,
Yemen,YEM,1952,175727,,255349,
Yemen,YEM,1953,176836,,261349,
Yemen,YEM,1954,178480,,267674,
Yemen,YEM,1955,180321,,274346,
Yemen,YEM,1956,181723,,280810,
Yemen,YEM,1957,183191,,287497,
Yemen,YEM,1958,184225,,294695,
Yemen,YEM,1959,185838,,302403,
Yemen,YEM,1960,186904,,309900,
Yemen,YEM,1961,188005,,317798,
Yemen,YEM,1962,194488,,325755,
Yemen,YEM,1963,200273,,334052,
Yemen,YEM,1964,196002,,343301,
Yemen,YEM,1965,196533,,351930,
Yemen,YEM,1966,197012,,361092,
Yemen,YEM,1967,196643,,370281,
Yemen,YEM,1968,195443,,377961,
Yemen,YEM,1969,190024,,386337,
Yemen,YEM,1970,188562,,396181,
Yemen,YEM,1971,185676,,404778,
Yemen,YEM,1972,183772,,413096,
Yemen,YEM,1973,181914,,422149,
Yemen,YEM,1974,179975,,432722,
Yemen,YEM,1975,178256,,445071,
Yemen,YEM,1976,176359,,457437,
Yemen,YEM,1977,174210,,470321,
Yemen,YEM,1978,171774,,484214,
Yemen,YEM,1979,170006,,506388,
Yemen,YEM,1980,167952,,523724,
Yemen,YEM,1981,165557,,540037,
Yemen,YEM,1982,165344,,557639,
Yemen,YEM,1983,161446,,576272,
Yemen,YEM,1984,159334,,594010,
Yemen,YEM,1985,157968,,613553,
Yemen,YEM,1986,167419,,632074,
Yemen,YEM,1987,156547,,649880,
Yemen,YEM,1988,156558,,669857,
Yemen,YEM,1989,156442,,686899,
Yemen,YEM,1990,156985,,706640,
Yemen,YEM,1991,158881,,724716,
Yemen,YEM,1992,159608,,741686,
Yemen,YEM,1993,160495,,755961,
Yemen,YEM,1994,162169,,764541,
Yemen,YEM,1995,160292,,768275,
Yemen,YEM,1996,158948,,747746,
Yemen,YEM,1997,157661,,762114,
Yemen,YEM,1998,156894,,772368,
Yemen,YEM,1999,156067,,789234,
Yemen,YEM,2000,155131,,801831,
Yemen,YEM,2001,153651,,812359,
Yemen,YEM,2002,152125,,824642,
Yemen,YEM,2003,150270,,844736,
Yemen,YEM,2004,149254,,859750,
Yemen,YEM,2005,148203,,874900,
Yemen,YEM,2006,148128,,898205,
Yemen,YEM,2007,147865,,912630,
Yemen,YEM,2008,147961,,927082,
Yemen,YEM,2009,149032,,947938,
Yemen,YEM,2010,149460,,952693,
Yemen,YEM,2011,150999,,957334,
Yemen,YEM,2012,154258,,999885,
Yemen,YEM,2013,155172,,1040104,
Yemen,YEM,2014,159890,,1080215,
Yemen,YEM,2015,179869,,1119805,
Yemen,YEM,2016,181303,,1157021,
Yemen,YEM,2017,186783,,1193475,
Yemen,YEM,2018,208419,,1228646,
Yemen,YEM,2019,205722,,1262154,
Yemen,YEM,2020,210719,,1297064,
Yemen,YEM,2021,221116,,1324728,
Yemen,YEM,2022,199983,,1353356,
Yemen,YEM,2023,188765,,1386914,
Yemen,YEM,2024,,192110,,1394397
Yemen,YEM,2025,,195454,,1401358
Yemen,YEM,2026,,198678,,1406796
Yemen,YEM,2027,,201989,,1408736
Yemen,YEM,2028,,205629,,1407676
Yemen,YEM,2029,,209255,,1410939
Yemen,YEM,2030,,213279,,1410964
Yemen,YEM,2031,,217407,,1406736
Yemen,YEM,2032,,222083,,1412807
Yemen,YEM,2033,,227210,,1417698
Yemen,YEM,2034,,232373,,1423406
Yemen,YEM,2035,,238134,,1429785
Yemen,YEM,2036,,244091,,1435870
Yemen,YEM,2037,,250414,,1442140
Yemen,YEM,2038,,257146,,1456215
Yemen,YEM,2039,,264386,,1467019
Yemen,YEM,2040,,271780,,1481367
Yemen,YEM,2041,,279701,,1496980
Yemen,YEM,2042,,288011,,1512726
Yemen,YEM,2043,,296490,,1528406
Yemen,YEM,2044,,305084,,1542293
Yemen,YEM,2045,,314080,,1554833
Yemen,YEM,2046,,323243,,1564652
Yemen,YEM,2047,,332761,,1572512
Yemen,YEM,2048,,342722,,1581523
Yemen,YEM,2049,,352620,,1587529
Yemen,YEM,2050,,362587,,1593483
Yemen,YEM,2051,,373199,,1597556
Yemen,YEM,2052,,383502,,1599468
Yemen,YEM,2053,,394444,,1601213
Yemen,YEM,2054,,405760,,1602146
Yemen,YEM,2055,,417045,,1602994
Yemen,YEM,2056,,429256,,1601462
Yemen,YEM,2057,,441169,,1601250
Yemen,YEM,2058,,453751,,1597846
Yemen,YEM,2059,,466148,,1595408
Yemen,YEM,2060,,479073,,1591946
Yemen,YEM,2061,,491604,,1590347
Yemen,YEM,2062,,504272,,1586745
Yemen,YEM,2063,,517345,,1580293
