Entity,Code,Year,Deaths in ongoing conflicts (best estimate) - Conflict type: all
Yemen,YEM,1989,0
Yemen,YEM,1990,0
Yemen,YEM,1991,0
Yemen,YEM,1992,0
Yemen,YEM,1993,0
Yemen,YEM,1994,1489
Yemen,YEM,1995,0
Yemen,YEM,1996,0
Yemen,YEM,1997,0
Yemen,YEM,1998,0
Yemen,YEM,1999,0
Yemen,YEM,2000,0
Yemen,YEM,2001,0
Yemen,YEM,2002,2
Yemen,YEM,2003,0
Yemen,YEM,2004,29
Yemen,YEM,2005,0
Yemen,YEM,2006,0
Yemen,YEM,2007,0
Yemen,YEM,2008,21
Yemen,YEM,2009,94
Yemen,YEM,2010,201
Yemen,YEM,2011,1427
Yemen,YEM,2012,2446
Yemen,YEM,2013,578
Yemen,YEM,2014,2364
Yemen,YEM,2015,8102
Yemen,YEM,2016,4021
Yemen,YEM,2017,3597
Yemen,YEM,2018,4982
Yemen,YEM,2019,2925
Yemen,YEM,2020,6733
Yemen,YEM,2021,23441
Yemen,YEM,2022,3176
Yemen,YEM,2023,902
Yemen,YEM,2024,980
Yemen,YEM,2025,1310
